bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,155,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,German,standard,186.52,274.2641,midrange,362.0082,10,8.5,1,6.5," criterion, scheduling, fussiness, eq error",134,yes,nonnative,d?t-d?t,d{t-dEt,AEnglish,0,0,1,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 893/1736/2540; F1/F2/F3.2: 700/1902/2784; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",893,1736,700,1902,437,437,NA,NA,0.073617989,0.070700306,"R.Daland corpus, overall vowel counts",CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:20 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.1; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",1.469468004,NA,NA,NA,2,0.4594594595,NA,-0.04043951059,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,160,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,German,standard,186.52,274.2641,midrange,362.0082,10,8.5,1,6.5," criterion, scheduling, fussiness, eq error",134,yes,native,dyt-dut,dy:t-du:t,German,0,2,0,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 249/1582/1945; F1/F2/F3.2: 253/715/2182; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",249,1582,253,715,379,383,NA,NA,0.073617989,0.070700306,"R.Daland corpus, overall vowel counts",CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:25 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.7; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",4.80858173,NA,NA,NA,2,0.4594594595,NA,-0.04043951059,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,156,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,German,standard,186.52,274.2641,midrange,362.0082,10,8.5,1,6.5," criterion, scheduling, fussiness, eq error",135,yes,nonnative,d?t-d?t,dEt-d{t,AEnglish,0,0,1,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 700/1902/2784; F1/F2/F3.2: 893/1736/2540; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",700,1902,893,1736,437,437,NA,NA,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:21 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.6; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",1.469468004,NA,NA,NA,2,0.4594594595,NA,NA,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,159,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,German,standard,186.52,274.2641,midrange,362.0082,10,8.5,1,6.5," criterion, scheduling, fussiness, eq error",135,yes,native,dut-dyt,du:t-dy:t,German,0,2,0,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 253/715/2182; F1/F2/F3.2: 249/1582/1945; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",253,715,249,1582,383,379,NA,NA,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:24 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.3; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",4.80858173,NA,NA,NA,2,0.4594594595,NA,NA,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,158,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,English,standard,188.52,268.57,midrange,348.62,10,6.5,2,3.5," criterion, scheduling, fussiness, eq error",137,yes,native,d?t-d?t,d?t-d?t,AEnglish,0,0,1,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 700/1902/2784; F1/F2/F3.2: 893/1736/2540; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",700,1902,893,1736,437,437,NA,NA,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:23 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.7; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",1.469468004,NA,NA,NA,2,0.3939393939,NA,NA,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Polka, L, & Bohn, O. (1996). A cross‐language comparison of vowel perception in English‐learning and German‐learning infants. The Journal of the Acoustical Society of America. ",st,161,10.1121/1.415884 ,29,Polka,1996,Journal of the Acoustic Society of America,article,NA,NA,exp2,English,standard,188.52,268.57,midrange,348.62,10,6.5,2,3.5," criterion, scheduling, fussiness, eq error",137,yes,nonnative,dut-dyt,du:t-dy:t,German,0,2,0,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 253/715/2182; F1/F2/F3.2: 249/1582/1945; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 tokens per contrast; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",253,715,249,1582,383,379,NA,NA,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4800;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:26 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: 0.4; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,no,"means estimated from a graph, SD derived from ANOVAs comparing directions for collapsing across groups, and then extrapolated to each separate group",4.80858173,NA,NA,NA,2,0.3939393939,NA,NA,NA,"L&W Table B10 (15) for SD, then Table B10 (1) for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",NA,NA,2,NA,NA
"Kuhl, P. (1991). Human adults and human infant s show a 'perceptual magnet effect' for the prototypes of speech categories, monkeys do not. Perception & Psychophysics, 50(2), 93-107. ",st,163,10.3758/BF03212211 ,30,Kuhl,1991,Perception & Psychophysics,article,NA,NA,exp3,English,standard,NA,197.73,mean,NA,16,6,0,0,"criterion, scheduling",142,no,unusual,i-i',i-i',not_looked_up,0,0,0,0,0,0,0,"comments_F: F1-F3 for center vowels taken from Peterson and Barney (1952); 32 variant stimuli created. F3 constant & reported in paper. F1.1 & F2.1 looked up in Peterson & Barney. F1.2 and F2.2 computed the following way: The center of i' (poor i example) was  -90 mel horizontal (F1) and 90 mel vertical (F2) from center of good exemplar. Thus, ; F1/F2/F3.1: 270/2290/3010; F1/F2/F3.2: 212/2348/3010; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: rise-fall; other: Good i vs. variants. Values for variants at 30,60,90,120 vertical, horizontal and diagonal axes from 'good' i. F1 & F2 varied, F3 constant; voice: male; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",270,2290,212,2348,500,500,500,500,0.093461068,0.093461068,"R.Daland corpus, overall vowel counts",CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4500;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:9 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,0.6508859262,NA,1,500,0,0.2727272727,NA,0,NA,NA,NA,NA,2,NA,NA
"Kuhl, P. (1991). Human adults and human infant s show a 'perceptual magnet effect' for the prototypes of speech categories, monkeys do not. Perception & Psychophysics, 50(2), 93-107. ",st,164,10.3758/BF03212211 ,30,Kuhl,1991,Perception & Psychophysics,article,NA,NA,exp3,English,standard,NA,197.73,mean,NA,16,7,0,0,"criterion, scheduling",143,no,unusual,i'-i,i'-i,not_looked_up,0,0,0,0,0,0,0,"comments_F: F1-F3 for center vowels taken from Peterson and Barney (1952); 32 variant stimuli created. F3 constant & reported in paper. F1.1 & F2.1 looked up in Peterson & Barney. F1.2 and F2.2 computed the following way: The center of i' (poor i example) was  -90 mel horizontal (F1) and 90 mel vertical (F2) from center of good exemplar. Thus, ; F1/F2/F3.1: 212/2348/3010; F1/F2/F3.2: 270/2290/3010; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: rise-fall; other: Bad i vs. variants. Values for variants at 30,60,90,120 vertical, horizontal and diagonal axes from 'poor' i. F1 & F2 varied, F3 constant; voice: male; IDS: no; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",212,2348,270,2290,500,500,500,500,0.093461068,0.093461068,"R.Daland corpus, overall vowel counts",CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:4500;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:9 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,0.6508859262,NA,1,500,0,0.3043478261,NA,0,NA,NA,NA,NA,2,NA,NA
"Albareda-Castellot, B., Pons, F., & Sebasti?n-Gall?s, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science",st,165,10.1111/j.1467-7687.2010.00989.x ,31,Albareda,2011,Developmental Science,article,NA,NA,exp1,mixed,mixed,233,240,mean,255,18,9,3,3,"criterion, fussiness, side bias",144,no,native,de?i -du?i_,deDi -duDi_,not_looked_up,1,1,0,0,1,0,0,"comments_F: F1 & F2 taken from 150-200 ms central section of vowel. Stim characteristics taken from Bosch & S-G, 2003; F1/F2/F3.1: 675/2526; F1/F2/F3.2: 442/2716; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: first syllable stressed. 18 tokens from 5 female talkers. ; voice: female; IDS: no; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,AEM,other,"fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:T-shaped occluder (60*42), elmao cartoon (16*20cm);size.in:99*86;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:28 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;PC are percent correctly anticipated eye movements.,1.992133783,NA,NA,NA,2,0.3333333333,NA,NA,0.5860805861,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.3473507055,8.288265022,2,NA,NA
"Albareda-Castellot, B., Pons, F., & Sebasti?n-Gall?s, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science",st,166,10.1111/j.1467-7687.2010.00989.x ,31,Albareda,2011,Developmental Science,article,NA,NA,exp2,Spanish,standard,228,239,mean,247,18,17,4,8,"criterion, fussiness, side bias",145,no,nonnative,dε?i -de?i_,dEDi -deDi_,not_looked_up,1,0,0,0,0,1,0,"comments_F: F1 & F2 taken from 150-200 ms central section of vowel. Stim characteristics taken from Bosch & S-G, 2003; F1/F2/F3.1: 675/2527; F1/F2/F3.2: 442/2717; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: first syllable stressed. 18 tokens from 5 female talkers. ; voice: female; IDS: no; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",675,2527,442,2717,761.9,792.8,NA,NA,NA,NA,NA,AEM,other,"fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:T-shaped occluder (60*42), elmao cartoon (16*20cm);size.in:99*86;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:29 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.992084141,NA,NA,NA,1,0.4857142857,NA,NA,0.3174603175,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.3375064219,8.778815434,2,NA,NA
"Albareda-Castellot, B., Pons, F., & Sebasti?n-Gall?s, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science",st,167,10.1111/j.1467-7687.2010.00989.x ,31,Albareda,2011,Developmental Science,article,NA,NA,exp2,Catalan,standard,228,240,mean,250,18,10,2,4,"criterion, fussiness, side bias",146,no,native,dε?i -de?i_,dEDi -deDi_,not_looked_up,1,0,0,0,0,1,0,"comments_F: F1 & F2 taken from 150-200 ms central section of vowel. Stim characteristics taken from Bosch & S-G, 2003; F1/F2/F3.1: 675/2528; F1/F2/F3.2: 442/2718; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: first syllable stressed. 18 tokens from 5 female talkers. ; voice: female; IDS: no; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",675,2528,442,2718,761.9,792.8,NA,NA,NA,NA,NA,AEM,other,"fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:T-shaped occluder (60*42), elmao cartoon (16*20cm);size.in:99*86;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:30 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.992034552,NA,NA,NA,1,0.3571428571,NA,NA,0.7142857143,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.3539540178,7.981900452,2,NA,NA
"Albareda-Castellot, B., Pons, F., & Sebasti?n-Gall?s, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science",st,168,10.1111/j.1467-7687.2010.00989.x ,31,Albareda,2011,Developmental Science,article,NA,NA,exp2,CatSpan,bilingual,225,236,mean,255,18,9,3,4,"criterion, fussiness, side bias",147,no,native,dε?i -de?i_,dEDi -deDi_,not_looked_up,1,0,0,0,0,1,0,"comments_F: F1 & F2 taken from 150-200 ms central section of vowel. Stim characteristics taken from Bosch & S-G, 2003; F1/F2/F3.1: 675/2529; F1/F2/F3.2: 442/2719; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: first syllable stressed. 18 tokens from 5 female talkers. ; voice: female; IDS: no; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",675,2529,442,2719,761.9,792.8,NA,NA,NA,NA,NA,AEM,other,"fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:T-shaped occluder (60*42), elmao cartoon (16*20cm);size.in:99*86;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:6000;CHT.criterion:31 out of 10;CHT.criterionByChance:0.03125;CHT.maximum.trials:40;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.991985015,NA,NA,NA,1,0.3333333333,NA,NA,0.6984126984,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.353073029,8.021783068,2,NA,NA
"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.",st,170,NA,33,Benders,submitted,submitted,ms,NA,NA,E1,Dutch,standard,314.3,350,mean,385.7,18,14.5,1.5,11.5,"fussiness, bilingual, premature, criterion",149,yes,native,s?k -sa:k,s?k -sa:k,not_looked_up,NA,1,0,0,0,0,1,comments_F: NA; F1/F2/F3.1: 1001/1354; F1/F2/F3.2: 1113/1734; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: female/synth; IDS: NA; naturalness: synthetic; ISI: 675; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ,1001,1354,1113,1734,150,300,NA,NA,NA,NA,NA,CF-SA,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:1;max.trial.duration:10;nb.tokens.trial:8;visual.stim:checkerboard;size.in:17;dist.from.child.in:60;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251317,0.5549284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,1.754684285,NA,NA,NA,2,0.4461538462,NA,NA,0.4313160469,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.3409966411,8.600026665,2,NA,NA
"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.",st,171,NA,33,Benders,submitted,submitted,ms,NA,NA,E1,Dutch,standard,314.3,350,mean,385.7,18,14.5,1.5,11.5,"fussiness, bilingual, premature, criterion",149,yes,nonnative,s?k -sak/s?:k -sa:k,s?k -sak/s?:k -sa:k,not_looked_up,NA,1,0,0,0,0,0,"comments_F: length equal for s1 and s2, could　either be 150 or 300 ms, but no difference. Coded first possibility ; F1/F2/F3.1: 1001/1354; F1/F2/F3.2: 1113/1734; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: female/synth; IDS: NA; naturalness: synthetic; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",1001,1354,1113,1734,150,150,NA,NA,NA,NA,NA,CF-SA,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:1;max.trial.duration:10;nb.tokens.trial:8;visual.stim:checkerboard;size.in:17;dist.from.child.in:60;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9016766,0.2859144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,1.754684285,NA,NA,NA,1,0.4461538462,NA,NA,-0.327515275,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.3377731921,8.76495405,2,NA,NA
